gear_auto_start|智感净烟已启动，正在为您自动监测油烟。
gear_smoke_increase_detected|检测到油烟增大，已提升吸力，快速排烟中。
gear_smoke_heavy_max|检测到油烟较大，全力排烟中。
gear_stir_fry_mode|已启动爆炒模式，2分钟全力排烟
gear_delay_shutdown_new|延时关机已启动，倒计时结束后自动关机。再次点击电源键可立即关机。延时时长可在APP中设置
gear_delay_shutdown|延时关机已启动，倒计时结束后自动关机
clean_remind_start|您的油烟机已达到设置的提醒时间！建议您尽快启动内部气泡洗功能，清除内部油污，以保证油烟机的长期稳定运行。预计30分钟，是否现在开始呢？
clean_prepare_bubble|气泡洗准备中，请先清空油杯，并向水盒中加满清水。完成后请点击‘已处理’开始清洗。
clean_descale_prepare|检测到烟机需要进行除垢保养。请先清空油杯，并向水盒中加满水，然后加入一袋柠檬酸除垢剂。完成后请点击‘已处理’，烟机将自动开始除垢，预计30分钟。
clean_descale_finish|您的油烟机已完成除垢保养，请及时清空油杯。
clean_descale_confirm_exit|除垢保养进行中，您确认要结束除垢吗？
clean_bubble_exit_with_tip|气泡洗已退出，请清空油杯，机械臂归位中
clean_bubble_exit|气泡洗已退出，机械臂归位中
clean_bubble_confirm_exit|气泡洗进行中，您确认要结束取消么？
clean_water_lack|水盒缺水，请加水后点击已加水按键继续清洗
clean_oil_cup_dirty|油杯脏污，请及时清理油杯
air_quality_monitor_on|智感换气持续在线，为您守护厨房清新
air_quality_monitor_off|智感换气已关闭。需要时可随时为您开启
air_quality_detect_bad|检测到厨房空气质量较差，为您自动开启换气
air_quality_recovered|厨房空气变清新啦，我将持续为您监测厨房空气质量
